Genotype	Replicate	Chamber	Honeydew.mass	Species	Aphid.start	Aphid.end	Exposure.time	Cumulative.aphids	day1	day2	day3	day4	day5
37	3	2	35.1675	M.asc	125	304	5	1162	160.8	196.6	232.4	268.2	304
37	4	1	7.0609	M.asc	55	119	4	380	71	87	103	119	NA
37	5	2	35.8896	A.ner	340	640	4	2110	415	490	565	640	NA
37	6	1	38.8888	A.ner	139	293	4	941	177.5	216	254.5	293	NA
37	7	1	7.5566	M.asc	68	109	4	374.5	78.25	88.5	98.75	109	NA
37	8	1	4.8274	M.per	238	288	4	1077	250.5	263	275.5	288	NA
37	9	2	26.404	A.asc	189	435	4	1371	250.5	312	373.5	435	NA
37	10	2	2.0323	M.per	167	265	4	913	191.5	216	240.5	265	NA
37	11	2	40.0747	A.ner	369	487	4	1771	398.5	428	457.5	487	NA
37	12	2	35.2433	M.asc	141	294	4	946.5	179.25	217.5	255.75	294	NA
37	13	1	12.1729	M.per	160	159	4	637.5	159.75	159.5	159.25	159	NA
37	14	1	66.4615	A.ner	175	349	4	1135	218.5	262	305.5	349	NA
37	15	2	2.3985	M.per	211	334	4	1151.5	241.75	272.5	303.25	334	NA
37	16	1	15.3284	A.asc	235	315	4	1140	255	275	295	315	NA
37	17	1	3.8436	A.asc	57	176	4	525.5	86.75	116.5	146.25	176	NA
41	1	2	19.8823	A.ner	365	716	4	2337.5	452.75	540.5	628.25	716	NA
41	2	1	26.4403	A.asc	286	342	4	1284	300	314	328	342	NA
41	3	2	60.6908	A.ner	212	529	4	1640.5	291.25	370.5	449.75	529	NA
41	4	1	17.8405	M.asc	118	117	4	469.5	117.75	117.5	117.25	117	NA
41	5	1	5.4228	M.asc	26	30	4	114	27	28	29	30	NA
41	6	2	2.4908	M.per	224	608	4	1856	320	416	512	608	NA
41	7	2	89.1351	M.asc	259	415	5	1763	290.2	321.4	352.6	383.8	415
41	8	1	96.1915	A.ner	423	559	4	2032	457	491	525	559	NA
41	10	2	13.1333	M.asc	38	65	4	219.5	44.75	51.5	58.25	65	NA
41	11	1	7.6938	M.per	207	347	4	1178	242	277	312	347	NA
41	12	1	3.3935	A.ner	87	191	4	608	113	139	165	191	NA
41	13	1	16.0205	A.asc	260	401	4	1392.5	295.25	330.5	365.75	401	NA
41	14	2	3.4017	M.per	322	547	4	1850.5	378.25	434.5	490.75	547	NA
41	15	2	2.7499	A.asc	73	192	4	589.5	102.75	132.5	162.25	192	NA
41	17	2	18.7462	A.asc	155	238	4	827.5	175.75	196.5	217.25	238	NA
41	18	2	0.6481	M.per	128	396	4	1182	195	262	329	396	NA
43	1	2	12.6396	M.per	136	218	4	749	156.5	177	197.5	218	NA
43	2	1	35.366	A.ner	196	244	4	904	208	220	232	244	NA
43	3	2	17.1452	A.ner	260	516	4	1680	324	388	452	516	NA
43	6	1	3.8825	M.per	53	78	4	274.5	59.25	65.5	71.75	78	NA
43	7	2	2.9601	A.asc	93	147	4	507	106.5	120	133.5	147	NA
43	8	1	1.8486	M.per	116	81	4	376.5	107.25	98.5	89.75	81	NA
43	9	2	0.5659	A.asc	35	63	4	210	42	49	56	63	NA
43	10	1	23.9535	M.asc	97	206	4	660.5	124.25	151.5	178.75	206	NA
43	11	1	49.5496	A.ner	329	599	4	1991	396.5	464	531.5	599	NA
43	12	1	23.3528	A.asc	118	163	4	584.5	129.25	140.5	151.75	163	NA
43	13	1	11.6887	A.asc	128	157	4	584.5	135.25	142.5	149.75	157	NA
43	14	1	NA	M.asc	5	2	4	12.5	4.25	3.5	2.75	2	NA
43	15	2	39.7528	A.ner	258	518	4	1682	323	388	453	518	NA
43	16	2	12.88	M.asc	56	119	4	381.5	71.75	87.5	103.25	119	NA
43	17	2	0.8756	M.per	229	445	4	1456	283	337	391	445	NA
43	18	2	32.6365	M.asc	75	166	5	648	93.2	111.4	129.6	147.8	166
45	1	1	33.0848	M.asc	236	458	4	1499	291.5	347	402.5	458	NA
45	2	1	11.4445	M.asc	100	139	4	497.5	109.75	119.5	129.25	139	NA
45	3	1	38.7765	A.ner	265	413	4	1430	302	339	376	413	NA
45	5	1	44.6906	A.ner	104	174	4	591	121.5	139	156.5	174	NA
45	6	1	3.3638	A.asc	84	157	4	518.5	102.25	120.5	138.75	157	NA
45	7	2	36.1549	A.ner	216	310	4	1099	239.5	263	286.5	310	NA
45	8	2	0.4891	M.per	137	227	4	773	159.5	182	204.5	227	NA
45	9	2	5.6274	M.per	182	229	4	845.5	193.75	205.5	217.25	229	NA
45	10	2	1.5385	A.asc	67	266	4	765.5	116.75	166.5	216.25	266	NA
45	11	2	38.2371	A.ner	366	647	4	2166.5	436.25	506.5	576.75	647	NA
45	12	2	13.6693	A.asc	286	340	4	1279	299.5	313	326.5	340	NA
45	13	1	0.7026	M.per	41	19	4	109	35.5	30	24.5	19	NA
45	14	2	NA	M.asc	3	2	4	9.5	2.75	2.5	2.25	2	NA
45	15	2	1.2035	M.asc	7	6	5	32	6.8	6.6	6.4	6.2	6
45	17	1	18.4606	M.per	289	312	4	1213.5	294.75	300.5	306.25	312	NA
45	18	1	1.6391	A.asc	44	125	4	378.5	64.25	84.5	104.75	125	NA
47	1	1	30.9186	A.ner	87	158	4	525.5	104.75	122.5	140.25	158	NA
47	2	1	41.7647	M.asc	153	231	4	807	172.5	192	211.5	231	NA
47	4	1	10.6792	M.per	268	295	4	1139.5	274.75	281.5	288.25	295	NA
47	5	2	9.1785	M.asc	30	55	4	182.5	36.25	42.5	48.75	55	NA
47	6	1	20.9404	A.asc	132	270	4	873	166.5	201	235.5	270	NA
47	7	2	1.484	M.per	287	477	4	1623	334.5	382	429.5	477	NA
47	8	2	0.1322	A.asc	19	23	4	86	20	21	22	23	NA
47	9	2	0.5122	A.asc	7	49	4	133	17.5	28	38.5	49	NA
47	11	2	1.757	M.per	134	265	4	863.5	166.75	199.5	232.25	265	NA
47	12	1	56.1295	A.ner	199	404	4	1308.5	250.25	301.5	352.75	404	NA
47	13	2	48.6989	M.asc	76	254	4	749	120.5	165	209.5	254	NA
47	14	2	19.6426	A.ner	199	386	4	1263.5	245.75	292.5	339.25	386	NA
47	15	1	6.976	M.asc	92	217	4	680.5	123.25	154.5	185.75	217	NA
47	16	1	0.6178	A.asc	47	118	4	365.5	64.75	82.5	100.25	118	NA
47	17	2	35.0052	A.ner	232	727	4	2165.5	355.75	479.5	603.25	727	NA
47	18	1	0.8246	M.per	131	295	4	934	172	213	254	295	NA
