no,block,origin,pop,inoc,G.height1,G.height2,G.height3,G.leaves3,BA.snailsize,BA.none,BA.LA_before,BA.LA,LMA.leaflet_g,LMA.leaflet_cm2,H.n_nodules,H.nR,H.nW,H.above_g,H.roots_g,H.nodules_g
249,13,FI,32,auto,10.5,13,16,5,1.8,,4.854,2.398,0.0168,5.952,7,5,0,0.4344,0.1133,0.0517
250,13,US,8,int,10.5,12,17,7,1.5,,4.187,2.415,0.0099,3.736,11,5,0,0.4475,0.4791,0.0546
251,13,FI,27,int,7,11,18,5,1.7,,6.165,5.044,0.0171,6.753,22,5,0,0.574,0.2952,0.0913
252,13,FI,42,auto,10,11,15,4,1.7,,2.927,2.372,0.0045,2.834,4,4,0,0.1532,0.051,0.0093
253,13,FI,27,auto,8,11,17,3,1.8,,5.16,4.443,0.0117,5.272,17,5,0,0.3434,0.0755,0.0535
254,13,FI,11,auto,6.5,8,10,5,1.9,,4.195,4.195,0.0119,5.823,17,5,0,0.3948,0.1206,0.0562
255,13,FI,42,int,9.5,12,22,5,1.9,x,8.664,0,0.0264,7.707,30,5,0,0.6924,0.3489,0.1043
256,13,FI,32,int,9.5,14,24,6,1.5,,6.211,2.7,0.0161,5.634,15,5,0,0.8288,0.3329,0.1053
257,13,US,4,int,8,12,23,7,1.8,,7.128,7.128,0.0133,6.434,17,5,0,1.1462,0.3492,0.1104
258,13,US,5,auto,9.5,11,11,6,1.8,,2.833,2.833,0.006,3.776,7,5,0,0.2953,0.1142,0.0399
259,13,US,4,auto,8,8,12,4,1.7,,3.105,3.105,0.0052,3.418,3,3,0,0.1333,0.06,0.0044
260,13,FI,7,auto,7.5,9,11,5,1.9,,3.966,3.241,0.0099,4.303,20,5,0,0.245,0.1026,0.0192
261,14,FI,42,auto,7.5,9,13,4,1.7,,3.18,3.18,0.0075,3.844,8,5,0,0.1789,0.0796,0.0192
262,14,US,5,auto,7.5,7,15,1,1.9,,1.248,1.248,0.0005,0.493,4,4,0,0.0352,0.0443,0.002
263,14,FI,11,auto,8,10,17,5,1.9,,4.27,0.618,0.0136,6.641,9,5,0,0.4099,0.0928,0.0433
264,14,FI,32,int,10,16,27,6,1.8,,7.702,2.327,0.0236,10.108,30,5,0,1.2487,0.3276,0.1807
265,14,FI,27,auto,9.5,9,13,5,1.8,,3.348,3.348,0.0072,3.807,5,5,0,0.195,0.0598,0.0242
266,14,FI,32,auto,11.5,12,12,5,1.9,,3.589,3.549,0.008,3.733,6,5,0,0.2339,0.0962,0.0347
267,14,FI,7,auto,7,12,21,4,1.7,,7.048,4.618,0.0221,10.108,7,5,0,0.3064,0.0915,0.0245
268,14,US,4,auto,9,9,11,3,1.8,,3.013,3.013,0.0054,3.59,5,5,0,0.1695,0.0503,0.0112
