no,block,origin,pop,inoc,G.height1,G.height2,G.height3,G.leaves3,BA.snailsize,BA.none,BA.LA_before,BA.LA,LMA.leaflet_g,LMA.leaflet_cm2,H.n_nodules,H.nR,H.nW,H.above_g,H.roots_g,H.nodules_g
172,9,US,5,auto,9.5,7,8,7,1.6,,2.516,2.516,0.0045,2.614,10,3,2,0.1599,0.1067,0.0212
173,9,FI,11,int,9,14,22,5,1.8,,4.034,4.034,0.0131,4.556,14,5,0,0.4202,0.2457,0.0465
174,9,FI,7,int,8,10,17,6,1.7,,6.445,0.669,0.0174,5.916,100,5,0,0.6591,0.2022,0.0962
175,9,US,9,auto,8,7,7,5,1.9,x,2.18,0,0.0029,1.213,5,5,0,0.0806,0.0629,0.012
176,9,US,8,int,8,7,9,6,1.8,x,4.179,0,0.0126,5.065,4,4,0,0.2706,0.3047,0.0377
177,9,US,4,auto,9,9,8,4,1.9,x,1.466,0,0.0016,0.654,0,,,0.0513,0.0156,0
178,9,US,5,int,5,8,10,6,1.9,,3.792,2.063,0.0083,3.301,10,4,1,0.23,0.2919,0.0366
179,9,FI,27,auto,9,9,9,5,1.6,,1.833,1.804,0.0061,2.622,6,4,1,0.1361,0.0597,0.0331
180,9,FI,42,auto,8.5,10,11,4,1.9,x,2.906,0,0.0073,2.755,7,4,0,0.1532,0.0767,0.0254
181,10,US,4,int,9,9,14,6,1.9,,4.974,4.974,0.0107,4.563,4,5,0,0.3415,0.326,0.0109
182,10,FI,27,auto,8,9,15,5,1.9,x,4.414,0,0.0125,4.927,17,5,0,0.4085,0.1341,0.062
183,10,FI,11,int,5.5,7,13,4,1.7,,2.701,2.51,0.0169,7.227,9,4,1,0.1721,0.0828,0.0152
184,10,FI,32,int,8.5,11,21,5,1.9,,5.849,5.628,0.0133,6.221,18,5,0,0.5312,0.2024,0.0726
185,10,FI,27,int,2.5,4,14,4,1.9,,4.837,4.837,0.0124,6.246,4,4,0,0.1902,0.0627,0.0231
186,10,US,14,int,6.5,6,12,7,1.8,,3.297,1.184,0.0092,3.542,10,5,0,0.3442,0.2205,0.0212
187,10,FI,7,auto,9,11,14,5,1.7,x,3.673,0,0.0093,4.402,8,5,0,0.2933,0.0863,0.0475
188,10,US,5,auto,6.5,6,5,4,1.8,,1.874,1.874,0.004,1.578,6,4,1,0.0795,0.0815,0.0127
189,10,FI,42,int,9.5,14,25,5,1.8,,7.926,2.928,0.0205,7.538,20,5,0,0.7633,0.2808,0.0814
190,10,US,8,auto,8.5,7,9,7,1.7,,2.945,2.945,0.0058,2.907,6,5,0,0.2255,0.1832,0.033
191,10,US,5,int,8.5,9,12,7,1.8,,2.74,2.74,0.007,2.776,6,5,0,0.4466,0.3819,0.0476
192,10,US,4,auto,6,8,9,5,1.7,,2.558,2.558,0.0063,2.761,5,4,1,0.1821,0.0791,0.0107
193,10,FI,42,auto,9,10,16,5,1.8,,3.054,3.054,0.0086,3.108,3,3,0,0.3333,0.0789,0.0316
194,10,FI,32,auto,6,8,11,4,1.9,,2.644,2.644,0.0053,2.378,5,5,0,0.1307,0.0526,0.0163
195,10,FI,11,auto,6,7,10,4,1.7,,3.209,0.972,0.0084,3.688,4,3,1,0.1418,0.0691,0.0188
196,10,FI,7,int,11.5,13,22,5,1.8,,4.876,4.214,0.0145,4.602,28,5,0,0.4711,0.2965,0.0922
197,10,US,8,int,3.5,7,9,6,1.8,,3.523,3.523,0.0063,3.456,5,5,0,0.1427,0.0808,0.0152
198,10,US,14,auto,7.5,8,11,5,1.8,x,2.249,0,0.0052,2.42,3,2,1,0.1427,0.0459,0.0178
