Genotype	Replicate	ID	Chamber	Species	Census	Age	Age.aph.int	Leaves	Nodes	Height
11	15	11_15	2	M.per	7	36	26	10	5	10.47
11	15	11_15	2	M.per	8	39	26	10	5	10.8
11	15	11_15	2	M.per	9	43	26	7	4	14.6
11	16	11_16	2	A.ner	1	14	27	4	2	2.52
11	16	11_16	2	A.ner	2	18	27	4	2	3.6
11	16	11_16	2	A.ner	3	22	27	6	3	4.93
11	16	11_16	2	A.ner	4	25	27	6	3	5.95
11	16	11_16	2	A.ner	5	31	27	6	3	7.49
11	16	11_16	2	A.ner	6	33	27	8	4	8.26
11	16	11_16	2	A.ner	7	36	27	8	4	8.01
11	16	11_16	2	A.ner	8	39	27	8	4	8.36
11	16	11_16	2	A.ner	9	43	27	8	4	8.55
11	17	11_17	1	A.ner	1	14	29	4	2	2.11
11	17	11_17	1	A.ner	2	18	29	4	2	2.8
11	17	11_17	1	A.ner	3	22	29	6	3	3.81
11	17	11_17	1	A.ner	4	25	29	4	2	4.36
11	17	11_17	1	A.ner	5	32	29	6	3	5.24
11	17	11_17	1	A.ner	6	35	29	6	3	5.45
11	17	11_17	1	A.ner	7	38	29	4	2	5.61
11	17	11_17	1	A.ner	8	42	29	4	2	5.92
11	17	11_17	1	A.ner	9	46	29	4	2	5.79
11	18	11_18	2	Control	1	13	NA	4	2	3.3
11	18	11_18	2	Control	2	17	NA	4	2	4.12
11	18	11_18	2	Control	3	21	NA	6	3	5.1
11	18	11_18	2	Control	4	24	NA	4	2	5.57
11	18	11_18	2	Control	5	29	NA	6	3	6.72
11	18	11_18	2	Control	6	32	NA	6	3	6.47
11	18	11_18	2	Control	7	35	NA	6	3	6.75
11	18	11_18	2	Control	8	38	NA	6	3	6.64
11	18	11_18	2	Control	9	42	NA	5	3	6.39
13	1	13_01	2	M.per	1	15	27	4	2	1.86
13	1	13_01	2	M.per	2	19	27	6	3	2.87
13	1	13_01	2	M.per	3	23	27	6	3	3.79
13	1	13_01	2	M.per	4	26	27	6	3	4.75
13	1	13_01	2	M.per	5	31	27	8	4	6.66
13	1	13_01	2	M.per	6	34	27	10	5	7.83
13	1	13_01	2	M.per	7	37	27	10	5	8
13	1	13_01	2	M.per	8	40	27	12	6	8.1
13	1	13_01	2	M.per	9	44	27	10	5	8.17
13	2	13_02	1	A.ner	1	15	30	6	3	4.06
13	2	13_02	1	A.ner	2	19	30	6	3	5.07
13	2	13_02	1	A.ner	3	23	30	8	4	6.07
13	2	13_02	1	A.ner	4	26	30	8	4	6.31
13	2	13_02	1	A.ner	5	33	30	10	5	7.99
13	2	13_02	1	A.ner	6	36	30	10	5	7.72
13	2	13_02	1	A.ner	7	39	30	10	5	8.09
13	2	13_02	1	A.ner	8	43	30	8	4	8.3
13	2	13_02	1	A.ner	9	47	30	10	5	7.98
13	3	13_03	2	M.per	1	15	27	4	2	2
13	3	13_03	2	M.per	2	19	27	6	3	3.17
13	3	13_03	2	M.per	3	23	27	6	3	4.89
13	3	13_03	2	M.per	4	26	27	6	3	5.65
13	3	13_03	2	M.per	5	31	27	8	4	7.7
13	3	13_03	2	M.per	6	34	27	10	5	8.78
13	3	13_03	2	M.per	7	37	27	10	5	9.4
13	3	13_03	2	M.per	8	40	27	10	5	9.23
13	3	13_03	2	M.per	9	44	27	10	5	10.19
13	4	13_04	1	M.per	1	14	28	4	2	2.87
13	4	13_04	1	M.per	2	18	28	6	3	4.54
13	4	13_04	1	M.per	3	22	28	8	4	6.09
13	4	13_04	1	M.per	4	25	28	6	3	6.39
13	4	13_04	1	M.per	5	32	28	8	4	7.92
13	4	13_04	1	M.per	6	35	28	10	5	8
13	4	13_04	1	M.per	7	38	28	10	5	7.92
13	4	13_04	1	M.per	8	42	28	6	3	8.22
13	4	13_04	1	M.per	9	46	28	6	3	8.48
13	5	13_05	1	M.asc	1	14	29	4	2	3.19
13	5	13_05	1	M.asc	2	18	29	6	3	4.35
13	5	13_05	1	M.asc	3	22	29	6	3	5.17
13	5	13_05	1	M.asc	4	25	29	6	3	5.89
13	5	13_05	1	M.asc	5	32	29	8	4	8.88
13	5	13_05	1	M.asc	6	35	29	12	6	11.2
13	5	13_05	1	M.asc	7	38	29	8	4	12.03
13	5	13_05	1	M.asc	8	41	29	6	3	12.9
13	5	13_05	1	M.asc	9	45	29	6	3	12.71
13	6	13_06	1	A.asc	1	11	25	4	2	2.58
13	6	13_06	1	A.asc	2	15	25	6	3	3.64
13	6	13_06	1	A.asc	3	19	25	6	3	4.46
13	6	13_06	1	A.asc	4	22	25	6	3	5.23
13	6	13_06	1	A.asc	5	29	25	8	4	7.01
13	6	13_06	1	A.asc	6	32	25	8	4	7.53
13	6	13_06	1	A.asc	7	35	25	10	5	7.78
13	6	13_06	1	A.asc	8	38	25	7	4	8.03
13	6	13_06	1	A.asc	9	42	25	7	4	8.74
13	7	13_07	2	A.asc	1	13	25	4	2	2.85
13	7	13_07	2	A.asc	2	17	25	6	3	3.95
13	7	13_07	2	A.asc	3	21	25	8	4	5.15
13	7	13_07	2	A.asc	4	24	25	8	4	5.89
13	7	13_07	2	A.asc	5	29	25	10	5	7.27
13	7	13_07	2	A.asc	6	32	25	10	5	8.45
13	7	13_07	2	A.asc	7	35	25	10	5	8.88
13	7	13_07	2	A.asc	8	38	25	12	6	9.6
13	7	13_07	2	A.asc	9	42	25	11	6	9.25
13	8	13_08	1	A.ner	1	10	25	4	2	2.31
13	8	13_08	1	A.ner	2	14	25	4	2	3.06
13	8	13_08	1	A.ner	3	18	25	6	3	4.2
13	8	13_08	1	A.ner	4	21	25	6	3	5.09
13	8	13_08	1	A.ner	5	28	25	8	4	6.3
13	8	13_08	1	A.ner	6	31	25	10	5	7.37
13	8	13_08	1	A.ner	7	34	25	6	3	7.45
13	8	13_08	1	A.ner	8	38	25	10	5	7.19
13	8	13_08	1	A.ner	9	42	25	9	5	7.19
13	9	13_09	1	A.asc	1	13	27	4	2	3.02
13	9	13_09	1	A.asc	2	17	27	6	3	4.25
13	9	13_09	1	A.asc	3	21	27	6	3	5.55
13	9	13_09	1	A.asc	4	24	27	6	3	6.56
13	9	13_09	1	A.asc	5	31	27	10	5	11.86
13	9	13_09	1	A.asc	6	34	27	8	4	14.22
13	9	13_09	1	A.asc	7	37	27	5	3	14.85
13	9	13_09	1	A.asc	8	41	27	4	2	14.8
13	9	13_09	1	A.asc	9	45	27	2	1	14.39
13	10	13_10	2	M.asc	1	12	24	4	2	2.08
13	10	13_10	2	M.asc	2	16	24	6	3	2.99
13	10	13_10	2	M.asc	3	20	24	6	3	4.22
13	10	13_10	2	M.asc	4	23	24	6	3	5.38
13	10	13_10	2	M.asc	5	28	24	8	4	7.44
13	10	13_10	2	M.asc	6	31	24	10	5	9.13
13	10	13_10	2	M.asc	7	34	24	10	5	10.6
13	10	13_10	2	M.asc	8	37	24	12	6	11.57
13	10	13_10	2	M.asc	9	41	24	10	5	12.18
13	11	13_11	2	M.asc	1	13	25	4	2	2.31
13	11	13_11	2	M.asc	2	17	25	6	3	3.59
13	11	13_11	2	M.asc	3	21	25	6	3	4.7
13	11	13_11	2	M.asc	4	24	25	6	3	5.84
13	11	13_11	2	M.asc	5	29	25	8	4	7.96
13	11	13_11	2	M.asc	6	32	25	10	5	8.39
13	11	13_11	2	M.asc	7	35	25	12	6	8.5
13	11	13_11	2	M.asc	8	38	25	10	5	8.5
13	11	13_11	2	M.asc	9	42	25	9	5	9.19
13	12	13_12	1	M.asc	1	14	29	4	2	2.13
13	12	13_12	1	M.asc	2	18	29	6	3	3.02
13	12	13_12	1	M.asc	3	22	29	6	3	4.07
13	12	13_12	1	M.asc	4	25	29	6	3	4.79
13	12	13_12	1	M.asc	5	32	29	8	4	6.22
13	12	13_12	1	M.asc	6	35	29	10	5	7.42
13	12	13_12	1	M.asc	7	38	29	6	3	8.05
13	12	13_12	1	M.asc	8	42	29	6	3	7.89
13	12	13_12	1	M.asc	9	46	29	6	3	7.98
13	13	13_13	2	A.ner	1	14	27	4	2	1.94
13	13	13_13	2	A.ner	2	18	27	6	3	2.68
13	13	13_13	2	A.ner	3	22	27	6	3	3.37
13	13	13_13	2	A.ner	4	25	27	6	3	4.33
13	13	13_13	2	A.ner	5	30	27	8	4	6.52
13	13	13_13	2	A.ner	6	33	27	10	5	8.35
13	13	13_13	2	A.ner	7	36	27	10	5	9.65
13	13	13_13	2	A.ner	8	39	27	12	6	10.85
13	13	13_13	2	A.ner	9	43	27	8	4	12.6
13	14	13_14	1	M.per	1	9	23	2	1	1.37
13	14	13_14	1	M.per	2	13	23	4	2	2.5
13	14	13_14	1	M.per	3	17	23	6	3	3.81
13	14	13_14	1	M.per	4	20	23	6	3	4.65
13	14	13_14	1	M.per	5	27	23	8	4	6.69
13	14	13_14	1	M.per	6	30	23	8	4	8.08
13	14	13_14	1	M.per	7	33	23	8	4	9
13	14	13_14	1	M.per	8	37	23	8	4	9.2
13	14	13_14	1	M.per	9	41	23	8	4	8.91
13	15	13_15	2	A.ner	1	8	21	2	1	1.92
13	15	13_15	2	A.ner	2	12	21	4	2	3.08
13	15	13_15	2	A.ner	3	16	21	6	3	4.58
13	15	13_15	2	A.ner	4	19	21	4	2	5.42
13	15	13_15	2	A.ner	5	24	21	6	3	6.86
13	15	13_15	2	A.ner	6	27	21	6	3	8.68
13	15	13_15	2	A.ner	7	30	21	6	3	8.89
13	15	13_15	2	A.ner	8	33	21	2	1	8.69
13	15	13_15	2	A.ner	9	34	21	2	1	NA
13	16	13_16	1	A.asc	1	7	21	2	1	1.7
13	16	13_16	1	A.asc	2	11	21	4	2	2.65
13	16	13_16	1	A.asc	3	15	21	6	3	3.64
13	16	13_16	1	A.asc	4	18	21	4	2	4.62
13	16	13_16	1	A.asc	5	25	21	8	4	7.56
13	16	13_16	1	A.asc	6	28	21	8	4	9.45
13	16	13_16	1	A.asc	7	31	21	8	4	10.19
13	16	13_16	1	A.asc	8	35	21	8	4	10.54
13	16	13_16	1	A.asc	9	39	21	8	4	9.87
15	1	15_01	2	M.per	1	14	26	4	2	2.88
15	1	15_01	2	M.per	2	18	26	6	3	4.24
15	1	15_01	2	M.per	3	22	26	8	4	5.64
15	1	15_01	2	M.per	4	25	26	6	3	6.65
15	1	15_01	2	M.per	5	30	26	10	5	8.74
15	1	15_01	2	M.per	6	33	26	10	5	10.3
15	1	15_01	2	M.per	7	36	26	12	6	11.29
15	1	15_01	2	M.per	8	39	26	12	6	12.04
15	1	15_01	2	M.per	9	43	26	10	5	12.41
15	2	15_02	2	A.asc	1	15	27	4	2	2.61
15	2	15_02	2	A.asc	2	19	27	6	3	3.41
15	2	15_02	2	A.asc	3	23	27	6	3	4.98
15	2	15_02	2	A.asc	4	26	27	6	3	5.71
15	2	15_02	2	A.asc	5	32	27	6	3	7.35
15	2	15_02	2	A.asc	6	34	27	8	4	7.35
15	2	15_02	2	A.asc	7	37	27	8	4	7.24
15	2	15_02	2	A.asc	8	40	27	8	4	7.76
15	2	15_02	2	A.asc	9	44	27	8	4	8.01
15	3	15_03	2	M.asc	1	13	25	4	2	2.4
15	3	15_03	2	M.asc	2	17	25	6	3	3.53
15	3	15_03	2	M.asc	3	21	25	6	3	4.82
15	3	15_03	2	M.asc	4	24	25	6	3	5.71
15	3	15_03	2	M.asc	5	29	25	8	4	7.2
15	3	15_03	2	M.asc	6	32	25	8	4	7.4
15	3	15_03	2	M.asc	7	35	25	8	4	7.85
15	3	15_03	2	M.asc	8	38	25	8	4	8.51
15	3	15_03	2	M.asc	9	42	25	8	4	8.21
15	4	15_04	2	A.ner	1	14	27	4	2	2.48
15	4	15_04	2	A.ner	2	18	27	4	2	3.4
15	4	15_04	2	A.ner	3	22	27	6	3	4.49
15	4	15_04	2	A.ner	4	25	27	6	3	5.25
15	4	15_04	2	A.ner	5	30	27	8	4	6.6
15	4	15_04	2	A.ner	6	33	27	6	3	6.97
15	4	15_04	2	A.ner	7	36	27	6	3	7.25
15	4	15_04	2	A.ner	8	39	27	3	2	7.3
15	4	15_04	2	A.ner	9	43	27	0	0	NA
15	5	15_05	2	M.asc	1	14	26	4	2	3
15	5	15_05	2	M.asc	2	18	26	6	3	2.98
15	5	15_05	2	M.asc	3	22	26	8	4	4.91
15	5	15_05	2	M.asc	4	25	26	6	3	5.37
15	5	15_05	2	M.asc	5	30	26	8	4	8.3
15	5	15_05	2	M.asc	6	33	26	10	5	9.31
15	5	15_05	2	M.asc	7	36	26	10	5	9.85
15	5	15_05	2	M.asc	8	39	26	10	5	9.96
15	5	15_05	2	M.asc	9	43	26	6	3	10.86
15	6	15_06	1	M.asc	1	14	29	4	2	2.55
15	6	15_06	1	M.asc	2	18	29	6	3	3.8
15	6	15_06	1	M.asc	3	22	29	8	4	4.66
15	6	15_06	1	M.asc	4	25	29	6	3	5.27
15	6	15_06	1	M.asc	5	32	29	8	4	6.76
15	6	15_06	1	M.asc	6	35	29	10	5	7.12
15	6	15_06	1	M.asc	7	38	29	4	2	7.34
15	6	15_06	1	M.asc	8	41	29	6	3	7.36
15	6	15_06	1	M.asc	9	45	29	6	3	8.1
15	7	15_07	2	Control	1	14	NA	4	2	3.81
15	7	15_07	2	Control	2	18	NA	6	3	5.4
15	7	15_07	2	Control	3	22	NA	6	3	6.92
15	7	15_07	2	Control	4	25	NA	6	3	5.76
15	7	15_07	2	Control	5	30	NA	8	4	9.31
15	7	15_07	2	Control	6	33	NA	10	5	10.38
15	7	15_07	2	Control	7	36	NA	10	5	10.27
15	7	15_07	2	Control	8	39	NA	10	5	11.1
15	7	15_07	2	Control	9	43	NA	11	6	11.02
15	8	15_08	1	Control	1	13	NA	4	2	2.32
15	8	15_08	1	Control	2	17	NA	6	3	3.14
15	8	15_08	1	Control	3	21	NA	6	3	3.9
15	8	15_08	1	Control	4	24	NA	6	3	4.54
15	8	15_08	1	Control	5	31	NA	6	3	6.2
15	8	15_08	1	Control	6	34	NA	8	4	6.41
15	8	15_08	1	Control	7	37	NA	5	3	7.01
15	8	15_08	1	Control	8	40	NA	6	3	6.79
15	8	15_08	1	Control	9	44	NA	6	3	7.3
15	9	15_09	1	A.ner	1	14	29	4	2	2.59
15	9	15_09	1	A.ner	2	18	29	6	3	3.42
15	9	15_09	1	A.ner	3	22	29	6	3	4.49
15	9	15_09	1	A.ner	4	25	29	6	3	5.25
15	9	15_09	1	A.ner	5	32	29	10	5	7.75
15	9	15_09	1	A.ner	6	35	29	10	5	8.75
15	9	15_09	1	A.ner	7	38	29	12	6	9.43
15	9	15_09	1	A.ner	8	42	29	12	6	9.26
15	9	15_09	1	A.ner	9	46	29	10	5	8.7
15	10	15_10	2	A.ner	1	13	26	4	2	3.4
15	10	15_10	2	A.ner	2	17	26	6	3	4.68
15	10	15_10	2	A.ner	3	21	26	6	3	6.01
15	10	15_10	2	A.ner	4	24	26	6	3	6.9
15	10	15_10	2	A.ner	5	30	26	8	4	9.86
15	10	15_10	2	A.ner	6	32	26	8	4	10.32
15	10	15_10	2	A.ner	7	35	26	10	5	11.72
15	10	15_10	2	A.ner	8	38	26	10	5	11.78
15	10	15_10	2	A.ner	9	42	26	10	5	12.55
15	11	15_11	1	A.asc	1	12	26	4	2	2.66
15	11	15_11	1	A.asc	2	16	26	6	3	3.95
15	11	15_11	1	A.asc	3	20	26	6	3	5.38
15	11	15_11	1	A.asc	4	23	26	6	3	6.11
15	11	15_11	1	A.asc	5	30	26	8	4	9.17
15	11	15_11	1	A.asc	6	33	26	8	4	10.55
15	11	15_11	1	A.asc	7	36	26	8	4	10.58
15	11	15_11	1	A.asc	8	40	26	8	4	11.2
15	11	15_11	1	A.asc	9	44	26	8	4	10.34
15	12	15_12	1	M.per	1	13	27	4	2	2.32
15	12	15_12	1	M.per	2	17	27	6	3	3.43
15	12	15_12	1	M.per	3	21	27	6	3	4.82
15	12	15_12	1	M.per	4	24	27	6	3	5.56
15	12	15_12	1	M.per	5	31	27	8	4	8.21
15	12	15_12	1	M.per	6	34	27	6	3	9.3
15	12	15_12	1	M.per	7	37	27	8	4	9.14
15	12	15_12	1	M.per	8	41	27	8	4	9.97
15	12	15_12	1	M.per	9	45	27	8	4	9.66
15	13	15_13	2	M.per	1	10	22	4	2	1.81
15	13	15_13	2	M.per	2	14	22	4	2	2.87
15	13	15_13	2	M.per	3	18	22	6	3	4
15	13	15_13	2	M.per	4	21	22	6	3	5.34
15	13	15_13	2	M.per	5	26	22	8	4	6.85
15	13	15_13	2	M.per	6	29	22	8	4	7.13
15	13	15_13	2	M.per	7	32	22	8	4	6.92
15	13	15_13	2	M.per	8	35	22	8	4	7.42
15	13	15_13	2	M.per	9	39	22	6	3	7.27
15	14	15_14	1	A.asc	1	11	25	4	2	2.24
15	14	15_14	1	A.asc	2	15	25	6	3	3.05
15	14	15_14	1	A.asc	3	19	25	6	3	3.78
15	14	15_14	1	A.asc	4	22	25	6	3	4.88
15	14	15_14	1	A.asc	5	29	25	8	4	6.74
15	14	15_14	1	A.asc	6	32	25	8	4	7.33
15	14	15_14	1	A.asc	7	35	25	8	4	6.62
15	14	15_14	1	A.asc	8	39	25	8	4	8
15	14	15_14	1	A.asc	9	43	25	8	4	9
15	15	15_15	2	A.asc	1	11	23	2	1	1.81
15	15	15_15	2	A.asc	2	15	23	4	2	3.03
15	15	15_15	2	A.asc	3	19	23	6	3	4.16
15	15	15_15	2	A.asc	4	22	23	4	2	4.79
15	15	15_15	2	A.asc	5	27	23	6	3	7.49
15	15	15_15	2	A.asc	6	30	23	8	4	8.35
15	15	15_15	2	A.asc	7	33	23	8	4	8.65
15	15	15_15	2	A.asc	8	36	23	8	4	8.75
15	15	15_15	2	A.asc	9	40	23	6	3	12.46
15	16	15_16	1	M.asc	1	11	26	4	2	2.21
15	16	15_16	1	M.asc	2	15	26	6	3	3.11
15	16	15_16	1	M.asc	3	19	26	6	3	3.8
15	16	15_16	1	M.asc	4	22	26	6	3	4.62
15	16	15_16	1	M.asc	5	29	26	8	4	4.89
15	16	15_16	1	M.asc	6	32	26	8	4	5.14
15	16	15_16	1	M.asc	7	35	26	6	3	5.81
15	16	15_16	1	M.asc	8	38	26	6	3	6.96
15	16	15_16	1	M.asc	9	42	26	6	3	5.66
15	17	15_17	1	A.ner	1	9	24	2	1	1.41
15	17	15_17	1	A.ner	2	13	24	4	2	2.14
15	17	15_17	1	A.ner	3	17	24	4	2	3.1
15	17	15_17	1	A.ner	4	20	24	4	2	3.71
15	17	15_17	1	A.ner	5	27	24	6	3	4.9
15	17	15_17	1	A.ner	6	30	24	6	3	5.31
15	17	15_17	1	A.ner	7	33	24	4	2	5.22
15	17	15_17	1	A.ner	8	37	24	4	2	5.53
15	17	15_17	1	A.ner	9	41	24	4	2	4.72
15	18	15_18	1	M.per	1	9	23	2	1	1.64
15	18	15_18	1	M.per	2	13	23	4	2	2.52
15	18	15_18	1	M.per	3	17	23	4	2	3.53
15	18	15_18	1	M.per	4	20	23	4	2	4.35
15	18	15_18	1	M.per	5	27	23	6	3	6.74
15	18	15_18	1	M.per	6	30	23	6	3	7.65
15	18	15_18	1	M.per	7	33	23	6	3	7.82
15	18	15_18	1	M.per	8	37	23	6	3	8.02
15	18	15_18	1	M.per	9	41	23	6	3	7.55
17	1	17_01	1	A.asc	1	13	27	4	2	2.9
17	1	17_01	1	A.asc	2	17	27	6	3	4.06
17	1	17_01	1	A.asc	3	21	27	6	3	5.05
17	1	17_01	1	A.asc	4	24	27	6	3	5.9
17	1	17_01	1	A.asc	5	31	27	10	5	8.68
17	1	17_01	1	A.asc	6	34	27	8	4	9.45
17	1	17_01	1	A.asc	7	37	27	8	4	10.65
17	1	17_01	1	A.asc	8	40	27	8	4	11.21
17	1	17_01	1	A.asc	9	44	27	6	3	11.7
17	2	17_02	2	M.per	1	13	25	4	2	2.15
17	2	17_02	2	M.per	2	17	25	6	3	3.24
17	2	17_02	2	M.per	3	21	25	6	3	3.98
17	2	17_02	2	M.per	4	24	25	6	3	4.89
17	2	17_02	2	M.per	5	29	25	8	4	6.17
17	2	17_02	2	M.per	6	32	25	8	4	6.6
17	2	17_02	2	M.per	7	35	25	8	4	6.85
17	2	17_02	2	M.per	8	38	25	8	4	6.85
17	2	17_02	2	M.per	9	42	25	6	3	9.74
17	3	17_03	2	A.ner	1	12	25	4	2	1.88
17	3	17_03	2	A.ner	2	16	25	6	3	2.74
17	3	17_03	2	A.ner	3	20	25	6	3	3.86
17	3	17_03	2	A.ner	4	23	25	6	3	4.61
17	3	17_03	2	A.ner	5	29	25	6	3	6.65
17	3	17_03	2	A.ner	6	31	25	10	5	7.7
17	3	17_03	2	A.ner	7	34	25	10	5	7.8
17	3	17_03	2	A.ner	8	37	25	10	5	8.37
17	3	17_03	2	A.ner	9	41	25	8	4	8.5
17	4	17_04	1	M.asc	1	13	28	4	2	1.78
17	4	17_04	1	M.asc	2	17	28	4	2	2.68
17	4	17_04	1	M.asc	3	21	28	6	3	3.39
17	4	17_04	1	M.asc	4	24	28	6	3	3.9
17	4	17_04	1	M.asc	5	31	28	8	4	5.38
17	4	17_04	1	M.asc	6	34	28	7	4	5.8
17	4	17_04	1	M.asc	7	37	28	6	3	5.75
17	4	17_04	1	M.asc	8	41	28	6	3	5.95
17	4	17_04	1	M.asc	9	45	28	4	2	4.62
17	5	17_05	1	Control	1	14	NA	4	2	2.37
17	5	17_05	1	Control	2	18	NA	6	3	3.55
17	5	17_05	1	Control	3	22	NA	8	4	4.71
17	5	17_05	1	Control	4	25	NA	6	3	5.3
17	5	17_05	1	Control	5	32	NA	10	5	6.35
17	5	17_05	1	Control	6	35	NA	10	5	6.6
17	5	17_05	1	Control	7	38	NA	6	3	7.57
17	5	17_05	1	Control	8	42	NA	6	3	7.35
17	5	17_05	1	Control	9	46	NA	9	5	6.65
17	6	17_06	1	M.per	1	12	26	4	2	1.72
17	6	17_06	1	M.per	2	16	26	6	3	2.34
17	6	17_06	1	M.per	3	20	26	6	3	3.04
17	6	17_06	1	M.per	4	23	26	6	3	3.57
17	6	17_06	1	M.per	5	30	26	8	4	5
17	6	17_06	1	M.per	6	33	26	10	5	5.05
17	6	17_06	1	M.per	7	36	26	10	5	5.2
17	6	17_06	1	M.per	8	39	26	8	4	5.05
17	6	17_06	1	M.per	9	43	26	8	4	5.2
17	7	17_07	1	A.ner	1	13	28	2	1	1.84
17	7	17_07	1	A.ner	2	17	28	4	2	2.64
17	7	17_07	1	A.ner	3	21	28	6	3	3.45
17	7	17_07	1	A.ner	4	24	28	4	2	4.11
17	7	17_07	1	A.ner	5	31	28	8	4	5.9
17	7	17_07	1	A.ner	6	34	28	8	4	6
17	7	17_07	1	A.ner	7	37	28	6	3	NA
17	7	17_07	1	A.ner	8	41	28	6	3	6.1
17	7	17_07	1	A.ner	9	45	28	4	2	6.68
17	8	17_08	2	M.asc	1	14	26	4	2	1.69
17	8	17_08	2	M.asc	2	18	26	4	2	2.47
17	8	17_08	2	M.asc	3	22	26	6	3	3.22
17	8	17_08	2	M.asc	4	25	26	6	3	3.71
17	8	17_08	2	M.asc	5	31	26	6	3	6.36
17	8	17_08	2	M.asc	6	33	26	10	5	6.03
17	8	17_08	2	M.asc	7	36	26	8	4	6.6
17	8	17_08	2	M.asc	8	39	26	8	4	6.65
17	8	17_08	2	M.asc	9	43	26	7	4	6.58
17	9	17_09	1	M.asc	1	13	28	4	2	2.1
17	9	17_09	1	M.asc	2	17	28	6	3	2.9
17	9	17_09	1	M.asc	3	21	28	6	3	4.1
17	9	17_09	1	M.asc	4	24	28	6	3	4.4
17	9	17_09	1	M.asc	5	31	28	8	4	5.86
17	9	17_09	1	M.asc	6	34	28	10	5	6.35
17	9	17_09	1	M.asc	7	37	28	10	5	6.3
17	9	17_09	1	M.asc	8	41	28	8	4	6.95
17	9	17_09	1	M.asc	9	45	28	8	4	6.41
17	10	17_10	2	A.asc	1	11	23	4	2	1.45
17	10	17_10	2	A.asc	2	15	23	6	3	2.42
17	10	17_10	2	A.asc	3	19	23	6	3	3.68
17	10	17_10	2	A.asc	4	22	23	6	3	4.29
17	10	17_10	2	A.asc	5	27	23	8	4	6.2
17	10	17_10	2	A.asc	6	30	23	10	5	6.9
17	10	17_10	2	A.asc	7	33	23	8	4	7.17
17	10	17_10	2	A.asc	8	36	23	8	4	7.65
17	10	17_10	2	A.asc	9	40	23	6	3	8
17	11	17_11	1	M.per	1	12	26	4	2	2.57
17	11	17_11	1	M.per	2	16	26	6	3	3.55
17	11	17_11	1	M.per	3	20	26	6	3	4.34
17	11	17_11	1	M.per	4	23	26	6	3	4.61
17	11	17_11	1	M.per	5	30	26	8	4	6.98
17	11	17_11	1	M.per	6	33	26	6	3	7.45
17	11	17_11	1	M.per	7	36	26	6	3	7.48
17	11	17_11	1	M.per	8	40	26	6	3	7.73
17	11	17_11	1	M.per	9	44	26	6	3	7.73
17	12	17_12	1	A.ner	1	13	28	4	2	1.95
17	12	17_12	1	A.ner	2	17	28	6	3	2.99
17	12	17_12	1	A.ner	3	21	28	8	4	4.39
17	12	17_12	1	A.ner	4	24	28	6	3	5.17
17	12	17_12	1	A.ner	5	31	28	10	5	7.55
17	12	17_12	1	A.ner	6	34	28	10	5	7.92
17	12	17_12	1	A.ner	7	37	28	12	6	NA
17	12	17_12	1	A.ner	8	41	28	7	4	8.09
17	12	17_12	1	A.ner	9	45	28	6	3	8.27
17	13	17_13	2	M.per	1	13	25	4	2	1.9
17	13	17_13	2	M.per	2	17	25	4	2	2.89
17	13	17_13	2	M.per	3	21	25	6	3	4
17	13	17_13	2	M.per	4	24	25	4	2	4.5
17	13	17_13	2	M.per	5	29	25	8	4	7.01
17	13	17_13	2	M.per	6	32	25	8	4	8.3
17	13	17_13	2	M.per	7	35	25	10	5	9.27
17	13	17_13	2	M.per	8	38	25	10	5	9
17	13	17_13	2	M.per	9	42	25	8	4	9.71
17	14	17_14	2	A.ner	1	11	24	4	2	2.18
17	14	17_14	2	A.ner	2	15	24	6	3	3.07
17	14	17_14	2	A.ner	3	19	24	6	3	4.11
17	14	17_14	2	A.ner	4	22	24	6	3	5.78
17	14	17_14	2	A.ner	5	27	24	8	4	5.64
17	14	17_14	2	A.ner	6	30	24	10	5	5.92
17	14	17_14	2	A.ner	7	33	24	10	5	6.1
17	14	17_14	2	A.ner	8	36	24	10	5	6.4
17	14	17_14	2	A.ner	9	40	24	10	5	NA
17	15	17_15	2	A.asc	1	10	22	4	2	1.91
17	15	17_15	2	A.asc	2	14	22	6	3	3.34
17	15	17_15	2	A.asc	3	18	22	8	4	4.99
17	15	17_15	2	A.asc	4	21	22	6	3	5.8
17	15	17_15	2	A.asc	5	26	22	10	5	7.05
17	15	17_15	2	A.asc	6	29	22	10	5	7.89
17	15	17_15	2	A.asc	7	32	22	10	5	7.95
17	15	17_15	2	A.asc	8	35	22	9	5	8.19
17	15	17_15	2	A.asc	9	39	22	8	4	7.9
17	16	17_16	2	Control	1	11	NA	2	1	1.79
17	16	17_16	2	Control	2	15	NA	4	2	2.76
17	16	17_16	2	Control	3	19	NA	4	2	3.5
17	16	17_16	2	Control	4	22	NA	4	2	4.32
17	16	17_16	2	Control	5	NA	NA	NA	NA	NA
17	16	17_16	2	Control	6	30	NA	6	3	6.09
17	16	17_16	2	Control	7	33	NA	8	4	6.33
17	16	17_16	2	Control	8	36	NA	8	4	6.9
17	16	17_16	2	Control	9	40	NA	10	5	7.29
17	17	17_17	2	M.asc	1	12	24	4	2	2.1
17	17	17_17	2	M.asc	2	16	24	6	3	3.27
17	17	17_17	2	M.asc	3	20	24	6	3	4.62
17	17	17_17	2	M.asc	4	23	24	6	3	5.52
17	17	17_17	2	M.asc	5	28	24	8	4	7.68
17	17	17_17	2	M.asc	6	31	24	8	4	7.8
17	17	17_17	2	M.asc	7	34	24	8	4	8.5
